unix,date,symbol,open,high,low,close,Volume ALPHA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1749772800000,2025-06-13 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,0,0,0,0,0,0.0245
1749686400000,2025-06-12 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,0,0,0,0,0,0.0245
1749600000000,2025-06-11 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,0,0,0,0,0,0.0245
1749513600000,2025-06-10 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,0,0,0,0,0,0.0245
1749427200000,2025-06-09 00:00:00,ALPHA/USDT,0.0245,0.0245,0.0245,0.0245,1.2558,51.2588,0,0,2,0.0245
1749340800000,2025-06-08 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0243,0.0243,15.5528,590.1946,8.3891,295.3927,3,0.0265
1749254400000,2025-06-07 00:00:00,ALPHA/USDT,0.023,0.023,0.023,0.023,0,0,0,0,0,0.033
1749168000000,2025-06-06 00:00:00,ALPHA/USDT,0.023,0.023,0.023,0.023,0,0,0,0,0,0.033
1749081600000,2025-06-05 00:00:00,ALPHA/USDT,0.0386,0.0386,0.0195,0.023,17.2974,550.0398,10.2157,286.8841,5,0.033
1748995200000,2025-06-04 00:00:00,ALPHA/USDT,0.0327,0.0327,0.0327,0.0327,1.9331,59.117,0,0,1,0.0327
1748908800000,2025-06-03 00:00:00,ALPHA/USDT,0.0349,0.0349,0.0349,0.0349,0,0,0,0,0,0.0331
1748822400000,2025-06-02 00:00:00,ALPHA/USDT,0.0349,0.0349,0.0349,0.0349,0,0,0,0,0,0.0331
1748736000000,2025-06-01 00:00:00,ALPHA/USDT,0.0349,0.0349,0.0349,0.0349,0,0,0,0,0,0.0331
1748649600000,2025-05-31 00:00:00,ALPHA/USDT,0.0349,0.0349,0.0349,0.0349,0,0,0,0,0,0.0331
1748563200000,2025-05-30 00:00:00,ALPHA/USDT,0.0325,0.0349,0.0324,0.0349,17.9865,542.8671,5.3748,154.0071,4,0.0331
1748476800000,2025-05-29 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1748390400000,2025-05-28 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1748304000000,2025-05-27 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1748217600000,2025-05-26 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1748131200000,2025-05-25 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1748044800000,2025-05-24 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747958400000,2025-05-23 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747872000000,2025-05-22 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747785600000,2025-05-21 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747699200000,2025-05-20 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747612800000,2025-05-19 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747526400000,2025-05-18 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747440000000,2025-05-17 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747353600000,2025-05-16 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747267200000,2025-05-15 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747180800000,2025-05-14 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747094400000,2025-05-13 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1747008000000,2025-05-12 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1746921600000,2025-05-11 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1746835200000,2025-05-10 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1746748800000,2025-05-09 00:00:00,ALPHA/USDT,0.0304,0.0304,0.0304,0.0304,0,0,0,0,0,0.0357
1746662400000,2025-05-08 00:00:00,ALPHA/USDT,0.0398,0.0398,0.0304,0.0304,2.0303,57.8365,1.152,28.9472,2,0.0357
1746576000000,2025-05-07 00:00:00,ALPHA/USDT,0.033,0.033,0.033,0.033,0,0,0,0,0,0.033
1746489600000,2025-05-06 00:00:00,ALPHA/USDT,0.0331,0.0331,0.033,0.033,4.5746,138.3088,0,0,2,0.033
1746403200000,2025-05-05 00:00:00,ALPHA/USDT,0.0331,0.0331,0.0331,0.0331,0.5253,15.8706,0,0,1,0.0331
1746316800000,2025-05-04 00:00:00,ALPHA/USDT,0.0396,0.0396,0.0396,0.0396,0,0,0,0,0,0.04
1746230400000,2025-05-03 00:00:00,ALPHA/USDT,0.0396,0.0396,0.0396,0.0396,0,0,0,0,0,0.04
1746144000000,2025-05-02 00:00:00,ALPHA/USDT,0.0396,0.0396,0.0396,0.0396,0,0,0,0,0,0.04
1746057600000,2025-05-01 00:00:00,ALPHA/USDT,0.0389,0.0409,0.0378,0.0396,128.798,3219.8941,87.2199,2168.3369,13,0.04
1745971200000,2025-04-30 00:00:00,ALPHA/USDT,0.0359,0.0389,0.0359,0.0389,11.5463,301.239,11.5463,301.239,3,0.0383
1745884800000,2025-04-29 00:00:00,ALPHA/USDT,0.031,0.031,0.031,0.031,0,0,0,0,0,0.0326
1745798400000,2025-04-28 00:00:00,ALPHA/USDT,0.031,0.031,0.031,0.031,0,0,0,0,0,0.0326
1745712000000,2025-04-27 00:00:00,ALPHA/USDT,0.0326,0.0328,0.031,0.031,16.2292,497.7806,11.7999,359.756,5,0.0326
1745625600000,2025-04-26 00:00:00,ALPHA/USDT,0.0322,0.0322,0.0322,0.0322,0,0,0,0,0,0.0321
1745539200000,2025-04-25 00:00:00,ALPHA/USDT,0.0321,0.0322,0.0321,0.0322,1.9396,60.317,1.9396,60.317,2,0.0321
1745452800000,2025-04-24 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1745366400000,2025-04-23 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1745280000000,2025-04-22 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1745193600000,2025-04-21 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1745107200000,2025-04-20 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1745020800000,2025-04-19 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1744934400000,2025-04-18 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1744848000000,2025-04-17 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1744761600000,2025-04-16 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1744675200000,2025-04-15 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1744588800000,2025-04-14 00:00:00,ALPHA/USDT,0.0284,0.0284,0.0284,0.0284,0,0,0,0,0,0.0281
1744502400000,2025-04-13 00:00:00,ALPHA/USDT,0.0274,0.0284,0.0274,0.0284,14.9465,530.2709,12.3909,437,4,0.0281
1744416000000,2025-04-12 00:00:00,ALPHA/USDT,0.0322,0.0322,0.0322,0.0322,0,0,0,0,0,0.0322
